ID,Gender,Age,Marital Status,Job,Employment Status,Your Phone Model,Your bank information,How many years you are using internet banking application,How many years you are using mobile banking application,Do you find mobile application user-friendly,Internet banking usage frequency,Mobile banking usage frequency,Credit card debt inquiry,Credit card debt payment,Credit card limit transactions,Create & delete virtual card,Virtual card limit transactions,An additional new card application,Opening a new account,Balance check,Loan transaction,Transfer money to previously transferred account.,Transfer money to new account.,Invoice payment (If it is automatic payment than choose 8),Government payments,GSM transactions,Rent payment,Lottery transactions,HGS / OGS transactions,Tax / penalty transactions,SGK transactions,Bill transactions,Salary payment,Investment account transactions,Foreign money exchange transactions,Gold transactions,Investment fund transactions,Stock transactions,Public offering operations,Repo transactions,Bond transactions,Instant stock exchange transactions,Consumer credit usage,My credit accounts,Applying for mortgage ,Applying for car loan,Findeks risk report,New card application,New account opening,Request status,Foreign exchange calculation,Loan calculation,Make an appointment at a bank branch,Donate transactions,View payment schedule,View bank campaigns,Mobile signature use,Communicating with the bank
1,Man,36-40,Married,,Private sector,SONY,Garanti,15+,7,Yes,9,9,8,8,6,8,8,9,9,8,9,8,8,8,5,4,4,4,0,5,0,,0,0,0,0,0,0,0,5,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2,Woman,31-35,Married,purchasing,Private sector,SAMSUNG A5,Akbank,10+,7,Yes,5,5,5,4,3,3,4,3,3,4,5,4,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Woman,20-24,Single,trainer,Private sector,Iphone ,Garanti,0-5,5,No,7,9,5,5,9,0,0,0,0,9,0,9,9,8,8,8,8,0,8,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,9,0,0
4,Woman,20-24,Single,trainer,Private sector,Iphone ,Ziraat,0-5,5,No,7,9,5,5,9,0,0,0,0,9,0,9,9,8,8,8,8,0,8,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,9,0,0
5,Woman,20-24,Single,trainer,Private sector,Iphone ,Isbank,0-5,5,No,7,9,5,5,9,0,0,0,0,9,0,9,9,8,8,8,8,0,8,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,9,0,0
6,Man,25-30,Single,,Private sector,SAMSUNG S6,Akbank,0-5,3,Yes,5,6,0,0,0,9,9,0,0,5,0,4,3,5,5,4,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0
7,Man,25-30,Single,computer engineer,Private sector,LG,Garanti,0-5,3,Yes,5,6,5,5,3,0,0,0,0,0,0,3,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,9,5,0,4
8,,25-30,,computer engineer,Private sector,HTC,Akbank,0-5,3,No,9,9,5,4,4,0,0,0,0,7,,4,9,4,4,4,4,,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,5,0,0
9,Man,25-30,Single,Engineer,Private sector,ASUS,Akbank,0-5,3,Yes,7,7,5,5,3,3,3,3,3,3,3,5,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Man,25-30,Single,Engineer,Private sector,ASUS,Isbank,0-5,3,Yes,5,5,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Man,25-30,Single,Engineer,Private sector,ASUS,Ziraat,0-5,3,Yes,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Woman,25-30,Married,computer engineer,Private sector,Nokia,Akbank,0-5,3,No,5,5,5,4,3,0,0,0,0,5,3,5,3,9,4,4,4,4,0,0,0,0,4,4,4,4,0,0,-,-,-,4,4,4,4,-,-,-,0,0,0,0,0,3,5,4,0,4
13,Woman,25-30,Married,computer engineer,Private sector,Galaxy S4,Akbank,10+,6,Yes,6,6,5,9,0,0,0,9,9,6,0,9,9,9,9,5,9,9,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9
14,Woman,25-30,Married,computer engineer,Private sector,Galaxy S4,Garanti,10+,6,Yes,6,6,5,9,0,0,0,9,9,6,0,9,9,9,9,5,9,9,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9
15,Woman,25-30,Married,computer engineer,Private sector,Galaxy S4,Isbank,10+,6,Yes,6,6,5,9,0,0,0,9,9,6,0,9,9,9,9,5,9,9,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9
16,Man,20-24,Single,computer engineer,Private sector,LG,Ziraat,0-5,3,Yes,3,7,5,4,0,3,3,3,3,7,0,5,3,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Man,20-24,Single,computer engineer,Private sector,LG,Akbank,0-5,3,No,6,6,0,0,0,0,0,0,0,7,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,0
18,Woman,25-30,Single,computer engineer,Private sector,LG,Garanti,4-6,6,Yes,5,5,4,4,0,3,8,0,0,5,0,4,3,9,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3
19,Woman,25-30,Single,computer engineer,Private sector,LG,Akbank,0-5,3,No,3,5,4,4,0,3,4,0,0,5,0,5,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Woman,25-30,Single,computer engineer,Private sector,LG,Finansbank,0-5,3,No,3,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
